FirstName,LastName,Username,Department,Password
John,Smith,jsmith,IT,P@ssw0rd123!
Michael,Johnson,mjohnson,IT,P@ssw0rd123!
David,Williams,dwilliams,IT,P@ssw0rd123!
Emily,Davis,edavis,HR,P@ssw0rd123!
Anna,Brown,abrown,HR,P@ssw0rd123!
Sarah,Miller,smiller,HR,P@ssw0rd123!
Peter,Wilson,pwilson,Sales,P@ssw0rd123!
James,Moore,jmoore,Sales,P@ssw0rd123!
Olivia,Taylor,otaylor,Sales,P@ssw0rd123!
Sophia,Anderson,sanderson,Management,P@ssw0rd123!
Daniel,Thomas,dthomas,Management,P@ssw0rd123!
Emma,Jackson,ejackson,Management,P@ssw0rd123!
